iter	Passed	Remaining
0	60	60689
1	62	31041
2	64	21528
3	66	16435
4	67	13446
5	69	11453
6	70	9941
7	70	8793
8	72	7934
9	73	7244
10	74	6688
11	75	6210
12	76	5790
13	77	5465
14	78	5147
15	79	4866
16	80	4626
17	81	4453
18	82	4258
19	83	4079
20	83	3913
21	86	3854
22	88	3773
23	91	3719
24	92	3599
25	93	3507
26	95	3436
27	96	3344
28	97	3280
29	100	3234
30	101	3170
31	107	3259
32	109	3201
33	109	3124
34	110	3051
35	111	2982
36	112	2915
37	112	2853
38	113	2795
39	114	2743
40	115	2691
41	115	2641
42	116	2596
43	117	2553
44	118	2514
45	119	2473
46	120	2437
47	121	2402
48	122	2371
49	123	2340
50	123	2306
51	124	2275
52	125	2245
53	126	2214
54	127	2194
55	129	2184
56	133	2208
57	134	2186
58	140	2247
59	144	2262
60	146	2259
61	153	2315
62	154	2295
63	155	2277
64	159	2297
65	161	2285
66	162	2262
67	163	2244
68	164	2224
69	167	2228
70	168	2208
71	171	2211
72	172	2195
73	174	2179
74	174	2157
75	176	2146
76	178	2138
77	179	2124
78	180	2108
79	181	2092
80	183	2083
81	184	2067
82	185	2046
83	185	2027
84	186	2011
85	190	2028
86	192	2016
87	193	2006
88	195	2000
89	197	1995
90	198	1984
91	199	1967
92	201	1963
93	204	1968
94	205	1956
95	206	1942
96	207	1929
97	208	1915
98	209	1904
99	210	1892
100	211	1879
101	212	1871
102	213	1859
103	214	1847
104	215	1834
105	216	1822
106	216	1808
107	217	1795
108	218	1782
109	218	1769
110	219	1756
111	220	1747
112	220	1734
113	221	1721
114	222	1708
115	222	1698
116	223	1690
117	225	1683
118	225	1672
119	226	1662
120	227	1652
121	228	1641
122	228	1631
123	229	1622
124	230	1613
125	232	1614
126	233	1605
127	235	1602
128	238	1610
129	239	1603
130	240	1594
131	241	1585
132	242	1579
133	243	1570
134	244	1565
135	245	1557
136	245	1548
137	246	1540
138	247	1536
139	248	1529
140	249	1521
141	250	1511
142	250	1503
143	251	1496
144	252	1488
145	253	1482
146	254	1474
147	254	1467
148	256	1462
149	257	1460
150	258	1453
151	261	1457
152	262	1455
153	264	1450
154	265	1445
155	266	1444
156	267	1438
157	268	1431
158	269	1424
159	270	1417
160	272	1418
161	274	1419
162	275	1414
163	276	1410
164	277	1404
165	278	1397
166	278	1390
167	279	1385
168	280	1378
169	281	1372
170	281	1366
171	282	1362
172	283	1357
173	284	1352
174	287	1356
175	288	1351
176	289	1345
177	290	1339
178	290	1333
179	291	1328
180	292	1322
181	293	1317
182	293	1311
183	294	1305
184	295	1300
185	295	1294
186	296	1289
187	297	1284
188	298	1281
189	300	1282
190	302	1283
191	304	1280
192	307	1285
193	308	1283
194	309	1278
195	310	1273
196	311	1267
197	311	1262
198	312	1257
199	313	1252
200	313	1246
201	314	1242
202	318	1250
203	320	1250
204	321	1246
205	322	1243
206	323	1239
207	324	1234
208	325	1230
209	325	1225
210	326	1221
211	327	1216
212	328	1213
213	329	1209
214	330	1207
215	331	1203
216	332	1199
217	333	1195
218	333	1191
219	334	1187
220	335	1182
221	336	1179
222	337	1175
223	338	1172
224	339	1168
225	340	1164
226	340	1160
227	341	1156
228	342	1152
229	343	1148
230	343	1144
231	344	1140
232	345	1137
233	346	1133
234	346	1129
235	347	1125
236	348	1121
237	349	1118
238	349	1114
239	350	1110
240	351	1107
241	352	1103
242	353	1100
243	353	1096
244	354	1092
245	355	1089
246	356	1085
247	358	1086
248	361	1091
249	363	1089
250	363	1086
251	364	1083
252	365	1080
253	366	1077
254	372	1089
255	379	1104
256	381	1101
257	382	1099
258	383	1097
259	384	1094
260	385	1092
261	388	1095
262	390	1094
263	392	1093
264	393	1090
265	394	1087
266	394	1084
267	395	1080
268	396	1076
269	397	1073
270	397	1070
271	398	1067
272	399	1063
273	400	1061
274	401	1058
275	402	1055
276	404	1056
277	407	1057
278	408	1055
279	409	1052
280	414	1059
281	419	1068
282	420	1065
283	421	1063
284	423	1063
285	424	1060
286	427	1060
287	428	1059
288	430	1058
289	431	1055
290	433	1055
291	436	1057
292	438	1057
293	439	1055
294	441	1053
295	441	1051
296	443	1048
297	443	1045
298	444	1042
299	445	1039
300	446	1035
301	447	1033
302	448	1031
303	449	1028
304	450	1025
305	450	1022
306	451	1019
307	452	1016
308	453	1013
309	454	1011
310	455	1008
311	456	1006
312	457	1004
313	458	1001
314	459	999
315	460	996
316	461	993
317	463	993
318	464	990
319	467	992
320	468	991
321	476	1002
322	477	1000
323	481	1004
324	482	1001
325	483	998
326	483	995
327	484	992
328	485	990
329	486	987
330	486	984
331	487	981
332	488	977
333	489	975
334	490	973
335	491	970
336	492	968
337	500	981
338	501	978
339	502	975
340	503	972
341	504	970
342	505	967
343	505	964
344	506	961
345	507	959
346	508	956
347	508	953
348	509	950
349	510	947
350	510	944
351	511	941
352	512	939
353	513	936
354	514	934
355	515	932
356	516	930
357	517	927
358	517	924
359	518	922
360	519	919
361	520	916
362	520	914
363	521	911
364	522	909
365	523	906
366	524	904
367	524	901
368	525	898
369	526	896
370	527	894
371	530	894
372	530	892
373	536	898
374	538	896
375	542	900
376	543	898
377	544	895
378	544	892
379	545	890
380	546	887
381	547	885
382	548	883
383	549	880
384	550	878
385	550	876
386	551	873
387	552	871
388	553	868
389	554	867
390	555	864
391	555	862
392	559	863
393	560	862
394	561	860
395	562	857
396	563	855
397	564	853
398	564	850
399	565	848
400	566	845
401	567	843
402	567	841
403	568	838
404	569	836
405	570	834
406	571	832
407	571	829
408	572	827
409	573	824
410	573	822
411	574	820
412	575	817
413	576	815
414	576	813
415	577	810
416	578	808
417	579	806
418	580	804
419	581	802
420	582	800
421	582	798
422	583	796
423	584	794
424	586	792
425	586	790
426	587	788
427	590	788
428	591	786
429	591	784
430	592	782
431	593	780
432	594	778
433	596	777
434	597	776
435	598	774
436	600	773
437	601	771
438	602	769
439	602	767
440	603	765
441	604	762
442	605	761
443	606	759
444	607	757
445	608	755
446	608	753
447	609	751
448	610	749
449	611	747
450	612	745
451	613	743
452	613	741
453	614	739
454	618	740
455	622	742
456	623	740
457	624	738
458	625	736
459	626	735
460	627	733
461	628	731
462	629	729
463	629	727
464	630	725
465	631	723
466	632	721
467	633	719
468	633	717
469	637	718
470	638	717
471	639	715
472	640	713
473	641	711
474	642	709
475	642	707
476	643	705
477	644	703
478	644	701
479	645	699
480	646	697
481	648	696
482	649	695
483	654	697
484	655	695
485	656	693
486	656	692
487	657	690
488	658	688
489	659	686
490	660	684
491	660	682
492	661	680
493	662	678
494	662	676
495	663	673
496	663	671
497	664	670
498	665	668
499	668	668
500	671	668
501	672	667
502	673	665
503	674	663
504	676	662
505	677	661
506	678	659
507	678	657
508	679	655
509	681	654
510	682	653
511	684	652
512	686	651
513	687	649
514	687	647
515	688	645
516	689	644
517	690	642
518	690	640
519	691	638
520	692	636
521	692	634
522	693	632
523	694	630
524	694	628
525	696	627
526	697	625
527	698	624
528	698	622
529	699	620
530	700	618
531	700	616
532	701	614
533	702	612
534	702	610
535	704	609
536	705	608
537	706	606
538	707	605
539	711	606
540	713	604
541	713	603
542	714	601
543	715	599
544	716	597
545	716	596
546	717	594
547	718	592
548	719	590
549	719	588
550	720	587
551	721	585
552	721	583
553	722	581
554	723	580
555	724	578
556	726	577
557	726	575
558	727	574
559	728	572
560	729	570
561	729	568
562	730	567
563	731	565
564	731	563
565	732	561
566	734	561
567	735	559
568	736	558
569	737	556
570	739	555
571	740	554
572	741	552
573	742	551
574	743	549
575	744	547
576	745	546
577	746	544
578	747	543
579	747	541
580	748	539
581	749	538
582	750	536
583	751	534
584	751	533
585	752	531
586	753	529
587	753	528
588	754	526
589	756	525
590	758	524
591	758	522
592	759	521
593	760	519
594	761	518
595	761	516
596	762	514
597	762	512
598	765	512
599	766	511
600	767	509
601	769	508
602	772	508
603	773	506
604	773	505
605	774	503
606	775	502
607	776	500
608	777	499
609	778	497
610	778	495
611	779	494
612	780	492
613	781	491
614	782	489
615	782	488
616	783	486
617	784	484
618	785	483
619	787	482
620	789	481
621	790	480
622	791	478
623	792	477
624	793	475
625	793	474
626	794	472
627	796	471
628	796	470
629	797	468
630	798	467
631	799	465
632	800	464
633	801	462
634	804	462
635	805	460
636	806	459
637	808	458
638	808	456
639	810	455
640	811	454
641	812	452
642	813	451
643	814	450
644	815	448
645	817	447
646	817	446
647	818	444
648	819	443
649	821	442
650	822	440
651	823	439
652	823	437
653	824	436
654	826	435
655	826	433
656	827	432
657	829	431
658	830	429
659	831	428
660	832	426
661	833	425
662	833	423
663	834	422
664	835	420
665	836	419
666	837	417
667	837	416
668	838	414
669	840	413
670	841	412
671	842	411
672	842	409
673	843	408
674	844	406
675	845	405
676	845	403
677	847	402
678	848	401
679	852	401
680	853	399
681	862	402
682	863	400
683	869	401
684	873	401
685	875	400
686	876	399
687	880	399
688	881	397
689	882	396
690	883	395
691	892	397
692	893	395
